Date,Weather,Year,Month,Hour,Holiday,Normalized_Temperature,Normalized_Feeling_Temperature,Normalized_Humidity,Windspeed,Count_of_Casual_Users,Count_of_Registered_Users,Count_of_Rented_Bikes
17/12/13,"Clear, Few clouds, Partly cloudy",2013,12,14,0,0.281666667,0.269266667,0.453370787,0.363817978,30,207,237
28/02/14,"Clear, Few clouds, Partly cloudy",2014,2,21,0,0.35,0.3535,0.461123596,0.110117978,10,179,189
28/03/14,"Clear, Few clouds, Partly cloudy",2014,3,22,0,0.5725,0.546411111,0.645617978,0.141041573,21,152,173
12/05/14,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2014,5,21,0,0.602916667,0.609988889,0.606741573,0.138794382,74,156,230
15/05/13,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2013,5,1,0,0.520416667,0.511111111,1.007865169,0.112365169,4,43,47
24/03/13,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2013,3,10,0,0.265416667,0.233411111,0.931123596,0.334017978,10,55,65
13/01/13,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2013,1,11,0,0.212083333,0.1717,0.444494382,0.455665169,4,34,38
09/12/13,"Clear, Few clouds, Partly cloudy",2013,12,5,0,0.22125,0.281588889,0.802247191,0.01011236,0,21,21
27/12/14,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2014,12,3,0,0.244166667,0.231188889,0.877865169,0.225023596,0,2,2
19/05/13,"Clear, Few clouds, Partly cloudy",2013,5,20,0,0.541666667,0.531311111,0.771123596,0.294835955,46,236,282
25/10/13,"Clear, Few clouds, Partly cloudy",2013,10,18,0,0.524166667,0.502777778,0.423370787,0.1045,65,454,519
03/07/14,"Clear, Few clouds, Partly cloudy",2014,7,8,0,0.752083333,0.6968,0.624494382,0.094094382,42,605,647
04/10/14,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2014,10,1,0,0.628333333,0.552722222,0.951235955,0.004494382,2,24,26
21/12/13,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2013,12,5,0,0.380416667,0.409455556,0.825617978,0.108994382,0,28,28
11/10/13,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2013,10,20,0,0.586666667,0.5555,0.834494382,0.229517978,31,203,234
30/08/14,"Clear, Few clouds, Partly cloudy",2014,8,12,0,0.77125,0.6868,0.451123596,0.136547191,73,221,294
20/11/13,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",2013,11,23,0,0.4725,0.455055556,0.884494382,0.092970787,3,25,28
08/06/13,"Clear, Few clouds, Partly cloudy",2013,6,2,0,0.646666667,0.588022222,0.898988764,0.095217978,0,7,7
25/05/14,"Clear, Few clouds, Partly cloudy",2014,5,11,0,0.687083333,0.638066667,0.791123596,0.145535955,90,193,283
24/02/13,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",2013,2,15,0,0.40375,0.410766667,0.547865169,0.393717978,5,58,63
23/11/14,"Clear, Few clouds, Partly cloudy",2014,11,13,0,0.467083333,0.455611111,0.385617978,0.285847191,224,200,424
25/05/14,"Clear, Few clouds, Partly cloudy",2014,5,21,0,0.71125,0.653722222,0.657865169,0.137670787,62,193,255
08/04/13,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",2013,4,15,0,0.344166667,0.328755556,0.876741573,0.228394382,1,24,25
09/08/13,"Clear, Few clouds, Partly cloudy",2013,8,17,0,0.800416667,0.764266667,0.552247191,0.166447191,79,454,533
21/09/13,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2013,9,8,0,0.54625,0.515755556,1,0.108994382,18,445,463
01/12/13,"Clear, Few clouds, Partly cloudy",2013,12,2,0,0.261666667,0.243411111,0.571235955,0.304117978,1,8,9
09/02/14,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2014,2,23,0,0.306666667,0.344411111,0.522247191,0.001123596,9,75,84
13/12/14,"Clear, Few clouds, Partly cloudy",2014,12,19,0,0.3025,0.317444444,0.45,0.172065169,20,328,348
25/06/14,"Clear, Few clouds, Partly cloudy",2014,6,17,0,0.808333333,0.690688889,0.242247191,0.473935955,76,757,833
15/06/14,"Clear, Few clouds, Partly cloudy",2014,6,13,0,0.7125,0.653066667,0.424494382,0.258194382,121,273,394
14/05/13,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2013,5,11,0,0.5325,0.502222222,0.94,0.136547191,72,207,279
23/03/13,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2013,3,15,0,0.380833333,0.404455556,0.823370787,0.227270787,11,74,85
15/10/13,"Clear, Few clouds, Partly cloudy",2013,10,21,0,0.504583333,0.496466667,0.431235955,0.231765169,53,115,168
27/12/14,"Clear, Few clouds, Partly cloudy",2014,12,5,0,0.248333333,0.243511111,0.753370787,0.170941573,1,11,12
26/10/14,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2014,10,21,0,0.544583333,0.515755556,0.775617978,0.139917978,40,252,292
06/01/13,"Clear, Few clouds, Partly cloudy",2013,1,19,0,0.22875,0.272044444,0.557865169,0.097465169,3,110,113
13/05/14,"Clear, Few clouds, Partly cloudy",2014,5,14,0,0.70875,0.659277778,0.487865169,0.1343,228,325,553
08/03/14,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2014,3,12,0,0.56375,0.533633333,0.608988764,0.455665169,27,225,252
10/10/14,"Clear, Few clouds, Partly cloudy",2014,10,21,0,0.502916667,0.495911111,0.514494382,0.359323596,18,251,269
20/11/13,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2013,11,12,0,0.510833333,0.486466667,0.63,0.142165169,70,234,304
26/09/13,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2013,9,4,0,0.622083333,0.5555,0.943370787,0.091847191,2,5,7
09/09/13,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2013,9,11,0,0.627916667,0.546611111,0.95011236,0.006741573,6,67,73
18/02/14,"Clear, Few clouds, Partly cloudy",2014,2,15,0,0.428333333,0.424755556,0.411123596,0.260441573,229,271,500
15/12/14,"Clear, Few clouds, Partly cloudy",2014,12,21,0,0.365416667,0.354055556,0.63011236,0.136547191,15,169,184
